AsOf,BbgCode,FirstExpiry,Exchange,Country,Ccy,ExCode,Ticker,RefMat,MinMat,MaxMat,MaxIssue,DlvDates,MinOut,Size,Cpn
2026-Jan-1,DU,H25,EUX,DE,EUR,FGBS,DBR|DBR-G|OBL|OBL-G|BKO|BKO-G,2,1Y9M,2Y3M,11Y,IMM,4000,100000,6
2026-Jan-1,OE,H25,EUX,DE,EUR,FGBM,DBR|DBR-G|OBL|OBL-G,5,4Y6M,5Y6M,11Y,IMM,4000,100000,6
2026-Jan-1,RX,H25,EUX,DE,EUR,FGBL,DBR|DBR-G,10,8Y6M,10Y6M,11Y,IMM,4000,100000,6
2026-Jan-1,UB,H25,EUX,DE,EUR,FGBX,DBR|DBR-G,30,24Y,35Y,999Y,IMM,4000,100000,4
2026-Jan-1,TU,H25,CBT,US,USD,ZT,T,2,1Y9M,2Y,5Y3M,Month,0,200000,6
2026-Jan-1,3Y,H25,CBT,US,USD,Z3,T,3,2Y9M,3Y,5Y3M,Month,0,200000,6
2026-Jan-1,FV,H25,CBT,US,USD,ZF,T,5,4Y2M,5Y3M,5Y3M,Month,0,100000,6
2026-Jan-1,TY,H25,CBT,US,USD,ZN,T,7,6Y6M,8Y,999Y,Month,0,100000,6
2026-Jan-1,UXY,H25,CBT,US,USD,TN,T,10,9Y5M,10Y,10Y,Month,0,100000,6
2026-Jan-1,TWE,H25,CBT,US,USD,TWE,T,20,19Y2M,19Y11M,999Y,Month,0,100000,6
2026-Jan-1,US,H25,CBT,US,USD,ZB,T,20,15Y,25Y,999Y,Month,0,100000,6
2026-Jan-1,WN,H25,CBT,US,USD,UB,T,30,25Y,999Y,999Y,Month,0,100000,6
2026-Jan-1,WB,H25,ICF,GB,GBP,G,UKT|UKT-G,2,1Y6M,3Y3M,999Y,Month,1500,100000,6
2026-Jan-1,WX,H25,ICF,GB,GBP,H,UKT|UKT-G,5,4Y,6Y3M,999Y,Month,1500,100000,4
2026-Jan-1,G ,H25,ICF,GB,GBP,R,UKT|UKT-G,10,8Y9M,13Y,999Y,Month,1500,100000,4
2026-Jan-1,UGP,H25,ICF,GB,GBP,U,UKT|UKT-G,30,28Y,37Y,999Y,Month,1500,100000,4